height,diameter,weight,hue,class
0.109600507,0.096485808,0.663964963,3.165590078, Ceramic 
0.140920449,0.103830227,0.315719822,2.926967988, Plastic 
0.101983748,0.087482789,0.230833225,1.849318248, Plastic 
0.05,0.063594729,0.131437263,3.601243765, Metal 
0.142037941,0.110334822,0.75,2.924496639, Ceramic 
0.059841975,0.119637405,0.435976869,2.390162549, Ceramic 
0.116224277,0.089264682,0.64108492,4.397133055, Ceramic 
0.104303982,0.097649309,0.40579556,3.489926664, Metal 
0.085872569,0.060071708,0.237952345,4.423805001, Metal 
0.140400892,0.12124752,0.375991216,5.510198892, Plastic 
0.100839087,0.055441235,0.207098548,1.633919953, Plastic 
0.072207412,0.084926452,0.185210587,3.280450973, Plastic 
0.113530454,0.095215618,0.647074697,3.612624826, Ceramic 
0.105660882,0.118566725,0.75,2.221780716, Ceramic 
0.10699746,0.064677016,0.458544951,3.13992611, Ceramic 
0.07,0.053335001,0.102906819,4.538706567, Plastic 
0.081078259,0.093040425,0.473448762,2.753548648, Ceramic 
0.107932062,0.103420206,0.734379656,4.598103044, Ceramic 
0.12385463,0.141449571,0.75,4.172468605, Ceramic 
0.067885282,0.063274117,0.304923249,4.180478729, Ceramic 
0.108012633,0.113226987,0.75,2.219335502, Ceramic 
0.105478995,0.068535075,0.18052128,3.996898357, Plastic 
0.105242477,0.081726259,0.228229621,3.655802867, Plastic 
0.153248087,0.130163833,0.401184574,2.179239163, Plastic 
0.120215228,0.116073582,0.338827775,0.876866304, Plastic 
0.075569171,0.072067954,0.1616056,3.33827839, Plastic 
0.131371291,0.091788908,0.278141251,2.383392581, Plastic 
0.12825405,0.148201394,0.455335366,2.686607561, Plastic 
